# Residuals    
# Time         	p              	sigmaxx        	sigmayy        	sigmayz        	sigmazz        
0.05           	1.00000000e+00	1.00000000e+00	1.00000000e+00	0.00000000e+00	0.00000000e+00
0.1            	9.46825850e-01	6.15429760e-01	6.14255110e-01	0.00000000e+00	0.00000000e+00
0.15           	8.72223090e-01	3.55685630e-01	3.87090270e-01	0.00000000e+00	0.00000000e+00
0.2            	7.45174630e-01	2.41999960e-01	2.50940090e-01	0.00000000e+00	0.00000000e+00
0.25           	3.38774800e-01	1.74652290e-01	1.63686100e-01	0.00000000e+00	0.00000000e+00
0.3            	2.88640440e-01	1.35722530e-01	1.02548920e-01	0.00000000e+00	0.00000000e+00
0.35           	5.76755930e-01	1.10607370e-01	8.64953560e-02	0.00000000e+00	0.00000000e+00
0.4            	7.42641420e-01	9.09846670e-02	8.97975370e-02	0.00000000e+00	0.00000000e+00
0.45           	8.51550420e-01	7.29714050e-02	9.22997080e-02	0.00000000e+00	0.00000000e+00
0.5            	9.24742970e-01	5.47267220e-02	8.98883240e-02	0.00000000e+00	0.00000000e+00
0.55           	9.91133130e-01	4.09759950e-02	9.25352460e-02	0.00000000e+00	0.00000000e+00
0.6            	9.46581280e-01	4.44768850e-02	1.06165450e-01	0.00000000e+00	0.00000000e+00
0.65           	8.73499730e-01	6.74801540e-02	1.31080780e-01	0.00000000e+00	0.00000000e+00
0.7            	7.47579640e-01	9.87872150e-02	1.57665650e-01	0.00000000e+00	0.00000000e+00
0.75           	3.40555310e-01	1.43074130e-01	1.88225070e-01	0.00000000e+00	0.00000000e+00
0.8            	2.89760560e-01	2.23643520e-01	2.19699780e-01	0.00000000e+00	0.00000000e+00
0.85           	5.78300080e-01	3.97973760e-01	3.70184250e-01	0.00000000e+00	0.00000000e+00
0.9            	7.44245950e-01	8.33939380e-01	8.26157960e-01	0.00000000e+00	0.00000000e+00
0.95           	8.52573640e-01	9.27463750e-01	9.63985570e-01	0.00000000e+00	0.00000000e+00
1              	9.25785720e-01	5.62579910e-01	7.40114300e-01	0.00000000e+00	0.00000000e+00
1.05           	9.92416370e-01	4.03985140e-01	6.70806480e-01	0.00000000e+00	0.00000000e+00
1.1            	9.45317580e-01	6.13685740e-01	7.65538670e-01	0.00000000e+00	0.00000000e+00
1.15           	8.72114400e-01	7.36276110e-01	5.61600850e-01	0.00000000e+00	0.00000000e+00
1.2            	7.45366460e-01	3.43982840e-01	3.17524350e-01	0.00000000e+00	0.00000000e+00
1.25           	3.38932450e-01	2.17482230e-01	1.93328870e-01	0.00000000e+00	0.00000000e+00
