# Residuals    
# Time         	p              	sigmaxx        	sigmaxy        	sigmayy        	sigmazz        
0.05           	1.00000000e+00	1.00000000e+00	1.00000000e+00	1.00000000e+00	0.00000000e+00
0.1            	9.96336780e-01	4.43880720e-01	4.99384320e-01	4.90971890e-01	0.00000000e+00
0.15           	9.93529310e-01	3.03861450e-01	3.28052160e-01	3.85228300e-01	0.00000000e+00
0.2            	9.90968380e-01	2.24152320e-01	2.34571470e-01	3.26496390e-01	0.00000000e+00
0.25           	9.88213170e-01	1.70323080e-01	1.73645590e-01	2.76073630e-01	0.00000000e+00
0.3            	9.83692340e-01	1.30557490e-01	1.29226960e-01	2.27010130e-01	0.00000000e+00
0.35           	9.82009560e-01	9.86659500e-02	9.40268550e-02	1.77911060e-01	0.00000000e+00
0.4            	4.30251760e-01	7.04610800e-02	6.39745810e-02	1.27710440e-01	0.00000000e+00
0.45           	1.85352610e-01	4.46586590e-02	3.69829210e-02	7.64512530e-02	0.00000000e+00
0.5            	6.09344740e-01	2.07055420e-02	1.16799900e-02	2.43991570e-02	0.00000000e+00
0.55           	9.99991900e-01	6.52819070e-03	1.38735890e-02	3.47764130e-02	0.00000000e+00
0.6            	9.96568240e-01	3.28683440e-02	4.09637140e-02	9.29972870e-02	0.00000000e+00
0.65           	9.94019920e-01	6.37435350e-02	7.15016240e-02	1.55485860e-01	0.00000000e+00
0.7            	9.91683340e-01	1.02037530e-01	1.08479960e-01	2.18284600e-01	0.00000000e+00
0.75           	9.89220320e-01	1.54466370e-01	1.57667830e-01	2.81671900e-01	0.00000000e+00
0.8            	9.85328070e-01	2.38318260e-01	2.32747920e-01	3.42107560e-01	0.00000000e+00
0.85           	9.84465960e-01	4.12707620e-01	3.78747340e-01	3.89255030e-01	0.00000000e+00
0.9            	6.88355500e-01	8.88258650e-01	8.58514940e-01	3.62148850e-01	0.00000000e+00
0.95           	7.24758630e-02	8.15625580e-01	9.97626380e-01	1.99245930e-01	0.00000000e+00
1              	5.61913810e-01	2.72753210e-01	2.10724930e-01	8.49083980e-02	0.00000000e+00
1.05           	9.99991470e-01	4.63453130e-02	1.45194230e-01	6.10410890e-02	0.00000000e+00
1.1            	9.96269050e-01	5.76121290e-01	8.83280380e-01	1.68415650e-01	0.00000000e+00
1.15           	9.93578450e-01	7.04103320e-01	7.49850490e-01	1.86590860e-01	0.00000000e+00
1.2            	9.91101930e-01	3.36034860e-01	3.43515350e-01	2.50396250e-01	0.00000000e+00
1.25           	9.88428640e-01	2.18093220e-01	2.19924450e-01	2.48310500e-01	0.00000000e+00
1.3            	9.84061060e-01	1.55730500e-01	1.53105140e-01	2.18431000e-01	0.00000000e+00
1.35           	9.82588480e-01	1.13404870e-01	1.07570430e-01	1.76578040e-01	0.00000000e+00
1.4            	4.77929740e-01	7.94077640e-02	7.18526290e-02	1.28829430e-01	0.00000000e+00
1.45           	1.63829950e-01	4.98843030e-02	4.12575320e-02	7.78506460e-02	0.00000000e+00
1.5            	6.00168810e-01	2.32690070e-02	1.31050980e-02	2.52261010e-02	0.00000000e+00
1.55           	9.99991790e-01	6.68627360e-03	1.47327700e-02	3.54253160e-02	0.00000000e+00
1.6            	9.96509000e-01	3.58097490e-02	4.46417660e-02	9.48430460e-02	0.00000000e+00
1.65           	9.93931620e-01	7.07295340e-02	7.91841830e-02	1.58502310e-01	0.00000000e+00
1.7            	9.91566700e-01	1.16114540e-01	1.23052180e-01	2.21517320e-01	0.00000000e+00
1.75           	9.89061900e-01	1.83853930e-01	1.86699680e-01	2.82090630e-01	0.00000000e+00
1.8            	9.85076920e-01	3.12154370e-01	3.01653370e-01	3.31042420e-01	0.00000000e+00
1.85           	9.84103030e-01	6.83763560e-01	6.39548650e-01	3.35120010e-01	0.00000000e+00
1.9            	6.38982160e-01	8.80426000e-01	9.99312990e-01	2.08584680e-01	0.00000000e+00
1.95           	9.34526920e-02	3.67449170e-01	3.68195830e-01	8.94574300e-02	0.00000000e+00
2              	5.70638620e-01	1.41734660e-01	1.00796200e-01	5.37758850e-02	0.00000000e+00
2.05           	9.99991560e-01	2.49210200e-02	7.21687550e-02	4.81221130e-02	0.00000000e+00
2.1            	9.96322520e-01	2.18749110e-01	3.34269850e-01	1.34043180e-01	0.00000000e+00
2.15           	9.93656590e-01	8.60491620e-01	9.98697460e-01	1.90682150e-01	0.00000000e+00
2.2            	9.91204520e-01	5.56105910e-01	5.53643510e-01	1.77384090e-01	0.00000000e+00
2.25           	9.88568740e-01	2.81386200e-01	2.80796660e-01	2.19756620e-01	0.00000000e+00
2.3            	9.84287520e-01	1.84156340e-01	1.80113660e-01	2.09267740e-01	0.00000000e+00
2.35           	9.82932770e-01	1.28785870e-01	1.21776750e-01	1.75130520e-01	0.00000000e+00
2.4            	5.09295530e-01	8.83510380e-02	7.97812190e-02	1.29846890e-01	0.00000000e+00
2.45           	1.49857830e-01	5.49929820e-02	4.54654900e-02	7.92272120e-02	0.00000000e+00
2.5            	5.94247070e-01	2.57465920e-02	1.46541810e-02	2.60277300e-02	0.00000000e+00
2.55           	9.99991720e-01	6.86671670e-03	1.55937230e-02	3.60390680e-02	0.00000000e+00
2.6            	9.96471140e-01	3.86795080e-02	4.82641470e-02	9.66908300e-02	0.00000000e+00
2.65           	9.93875410e-01	7.77180910e-02	8.69334430e-02	1.61494940e-01	0.00000000e+00
2.7            	9.91492550e-01	1.30875540e-01	1.38436270e-01	2.24624410e-01	0.00000000e+00
2.75           	9.88961080e-01	2.17665020e-01	2.20204560e-01	2.82131730e-01	0.00000000e+00
2.8            	9.84916470e-01	4.17810740e-01	3.99329350e-01	3.18343090e-01	0.00000000e+00
2.85           	9.83868830e-01	8.99915990e-01	9.98357900e-01	2.64433900e-01	0.00000000e+00
2.9            	6.09724490e-01	6.22565930e-01	7.44715420e-01	1.15387510e-01	0.00000000e+00
2.95           	1.06015620e-01	2.39328880e-01	2.26979710e-01	8.75300670e-02	0.00000000e+00
3              	5.75880970e-01	1.01068170e-01	6.96493860e-02	4.36735680e-02	0.00000000e+00
3.05           	9.99991600e-01	1.83428020e-02	5.16055450e-02	4.40104800e-02	0.00000000e+00
3.1            	9.96354990e-01	1.44229730e-01	2.07138950e-01	1.23127160e-01	0.00000000e+00
3.15           	9.93704200e-01	5.33754430e-01	7.82919590e-01	1.91313890e-01	0.00000000e+00
3.2            	9.91267100e-01	8.66442060e-01	9.97323600e-01	1.47062270e-01	0.00000000e+00
3.25           	9.88654110e-01	3.66275830e-01	3.62144510e-01	1.91351370e-01	0.00000000e+00
3.3            	9.84425030e-01	2.15655340e-01	2.10212530e-01	1.99934810e-01	0.00000000e+00
3.35           	9.83139940e-01	1.44470210e-01	1.36384630e-01	1.73531690e-01	0.00000000e+00
3.4            	5.29471960e-01	9.70900100e-02	8.76015110e-02	1.30835280e-01	0.00000000e+00
3.45           	1.40937570e-01	5.98769670e-02	4.95266270e-02	8.05420480e-02	0.00000000e+00
3.5            	5.90480620e-01	2.80905840e-02	1.61351930e-02	2.68015260e-02	0.00000000e+00
3.55           	9.99991690e-01	7.04700300e-03	1.64420490e-02	3.66209200e-02	0.00000000e+00
3.6            	9.96447200e-01	4.14211900e-02	5.17624390e-02	9.84743680e-02	0.00000000e+00
3.65           	9.93839960e-01	8.45588750e-02	9.45957980e-02	1.64387870e-01	0.00000000e+00
3.7            	9.91445810e-01	1.46029660e-01	1.54372950e-01	2.27670920e-01	0.00000000e+00
3.75           	9.88897480e-01	2.56064070e-01	2.58470220e-01	2.81958460e-01	0.00000000e+00
3.8            	9.84815010e-01	5.71138530e-01	5.44825340e-01	3.01315550e-01	0.00000000e+00
3.85           	9.83719780e-01	9.12853700e-01	9.99229750e-01	2.04739930e-01	0.00000000e+00
3.9            	5.92059580e-01	4.17753290e-01	4.42748090e-01	1.01414780e-01	0.00000000e+00
3.95           	1.13647770e-01	1.85703840e-01	1.72091090e-01	8.68771800e-02	0.00000000e+00
4              	5.79071600e-01	8.16829180e-02	5.51518150e-02	3.87797230e-02	0.00000000e+00
4.05           	9.99991620e-01	1.52904720e-02	4.20527800e-02	4.20854790e-02	0.00000000e+00
4.1            	9.96374880e-01	1.13626180e-01	1.58581110e-01	1.18030440e-01	0.00000000e+00
